event_id,user_id,page,device,timestamp
1,U0020,/home,mobile,2024-10-10
2,U0251,/faq,tablet,2024-08-26
3,U0266,/blog,tablet,2024-10-18
4,U0225,/confirmation,tablet,2024-04-17
5,U0355,/confirmation,tablet,2024-09-20
6,U0183,/product-detail,desktop,2024-11-22
7,U0274,/about,desktop,2024-01-21
8,U0104,/home,mobile,2024-06-03
9,U0121,/about,tablet,2024-02-11
10,U0418,/faq,tablet,2024-06-13
11,U0057,/contact,desktop,2024-06-26
12,U0428,/product-detail,desktop,2024-10-19
13,U0461,/products,desktop,2024-03-17
14,U0330,/faq,desktop,2024-10-27
15,U0384,/confirmation,tablet,2024-01-13
16,U0048,/checkout,desktop,2024-09-01
17,U0142,/blog,desktop,2024-01-30
18,U0314,/cart,desktop,2024-10-22
19,U0213,/contact,desktop,2024-04-17
20,U0352,/faq,mobile,2024-02-17
21,U0312,/products,desktop,2024-07-22
22,U0025,/product-detail,tablet,2024-03-18
23,U0060,/cart,desktop,2024-03-01
24,U0444,/contact,mobile,2024-08-26
25,U0386,/product-detail,desktop,2024-02-28
26,U0311,/products,desktop,2024-02-27
27,U0196,/about,desktop,2024-03-07
28,U0468,/product-detail,desktop,2024-03-02
29,U0317,/home,mobile,2024-03-10
30,U0371,/confirmation,tablet,2024-09-27
31,U0390,/contact,desktop,2024-04-11
32,U0474,/faq,tablet,2024-04-19
33,U0019,/checkout,tablet,2024-04-08
34,U0221,/about,mobile,2024-04-16
35,U0275,/home,tablet,2024-04-01
36,U0234,/checkout,tablet,2024-02-23
37,U0077,/checkout,desktop,2024-02-21
38,U0047,/checkout,desktop,2024-10-12
39,U0350,/about,tablet,2024-09-25
40,U0072,/confirmation,desktop,2024-10-22
41,U0341,/confirmation,desktop,2024-03-17
42,U0306,/checkout,mobile,2024-03-06
43,U0009,/faq,desktop,2024-12-24
44,U0434,/confirmation,mobile,2024-07-13
45,U0430,/products,tablet,2024-12-01
46,U0001,/cart,tablet,2024-12-07
47,U0292,/faq,mobile,2024-03-06
48,U0399,/faq,mobile,2024-01-09
49,U0398,/products,desktop,2024-08-20
50,U0061,/product-detail,mobile,2024-04-07
51,U0218,/confirmation,tablet,2024-06-16
52,U0277,/confirmation,mobile,2024-06-06
53,U0391,/product-detail,desktop,2024-01-14
54,U0133,/products,tablet,2024-03-20
55,U0014,/product-detail,mobile,2024-01-28
56,U0217,/products,mobile,2024-11-10
57,U0083,/contact,desktop,2024-10-12
58,U0254,/checkout,desktop,2024-03-26
59,U0307,/faq,desktop,2024-08-14
60,U0369,/products,mobile,2024-08-06
61,U0442,/faq,desktop,2024-07-30
62,U0117,/product-detail,desktop,2024-05-24
63,U0272,/products,mobile,2024-06-12
64,U0134,/product-detail,tablet,2024-11-19
65,U0329,/home,desktop,2024-12-25
66,U0364,/checkout,desktop,2024-05-07
67,U0031,/products,desktop,2024-11-11
68,U0186,/about,mobile,2024-10-15
69,U0469,/contact,mobile,2024-08-04
70,U0458,/checkout,tablet,2024-02-03
71,U0190,/contact,tablet,2024-12-12
72,U0399,/confirmation,mobile,2024-05-25
73,U0218,/product-detail,desktop,2024-05-08
74,U0246,/products,desktop,2024-05-08
75,U0237,/about,desktop,2024-02-26
76,U0023,/blog,desktop,2024-03-01
77,U0409,/blog,desktop,2024-01-20
78,U0107,/home,tablet,2024-07-30
79,U0284,/cart,desktop,2024-08-18
80,U0205,/checkout,desktop,2024-09-07
81,U0083,/about,tablet,2024-01-22
82,U0279,/home,tablet,2024-02-19
83,U0416,/confirmation,mobile,2024-02-24
84,U0076,/faq,desktop,2024-02-25
85,U0499,/confirmation,tablet,2024-02-01
86,U0238,/products,desktop,2024-09-17
87,U0022,/about,mobile,2024-02-22
88,U0127,/home,mobile,2024-12-30
89,U0118,/confirmation,desktop,2024-01-25
90,U0417,/checkout,mobile,2024-09-28
91,U0489,/checkout,mobile,2024-06-02
92,U0103,/about,desktop,2024-02-28
93,U0361,/cart,desktop,2024-01-09
94,U0290,/about,desktop,2024-06-27
95,U0273,/blog,tablet,2024-06-30
96,U0229,/about,tablet,2024-08-07
97,U0306,/checkout,mobile,2024-01-16
98,U0105,/products,tablet,2024-01-03
99,U0171,/cart,tablet,2024-04-12
100,U0311,/about,desktop,2024-08-13
101,U0473,/checkout,mobile,2024-07-20
102,U0224,/product-detail,desktop,2024-06-29
103,U0300,/products,tablet,2024-05-03
104,U0426,/product-detail,tablet,2024-08-31
105,U0010,/home,desktop,2024-05-16
106,U0207,/about,mobile,2024-02-21
107,U0160,/confirmation,tablet,2024-10-28
108,U0013,/products,desktop,2024-01-26
109,U0229,/faq,mobile,2024-12-07
110,U0240,/products,mobile,2024-01-20
111,U0011,/checkout,tablet,2024-04-30
112,U0279,/blog,desktop,2024-10-15
113,U0388,/checkout,tablet,2024-01-02
114,U0162,/cart,tablet,2024-12-28
115,U0034,/confirmation,desktop,2024-01-22
116,U0131,/faq,tablet,2024-09-13
117,U0020,/faq,mobile,2024-11-27
118,U0426,/faq,mobile,2024-07-21
119,U0402,/faq,tablet,2024-09-09
120,U0328,/cart,tablet,2024-02-03
121,U0102,/contact,tablet,2024-08-12
122,U0351,/products,mobile,2024-07-14
123,U0309,/blog,tablet,2024-05-29
124,U0053,/about,mobile,2024-02-20
125,U0077,/cart,mobile,2024-05-26
126,U0488,/home,mobile,2024-09-02
127,U0293,/checkout,desktop,2024-04-29
128,U0426,/product-detail,mobile,2024-08-11
129,U0094,/cart,tablet,2024-12-18
130,U0496,/blog,tablet,2024-10-29
131,U0305,/checkout,tablet,2024-10-18
132,U0467,/products,tablet,2024-08-16
133,U0414,/home,desktop,2024-12-30
134,U0422,/checkout,desktop,2024-08-08
135,U0435,/product-detail,desktop,2024-04-19
136,U0240,/home,tablet,2024-08-23
137,U0420,/blog,desktop,2024-02-24
138,U0046,/about,desktop,2024-03-22
139,U0339,/home,tablet,2024-12-04
140,U0322,/checkout,desktop,2024-10-06
141,U0484,/products,desktop,2024-07-08
142,U0351,/faq,tablet,2024-09-19
143,U0305,/blog,tablet,2024-08-17
144,U0462,/product-detail,desktop,2024-02-12
145,U0500,/contact,desktop,2024-10-02
146,U0258,/faq,mobile,2024-12-04
147,U0261,/home,desktop,2024-10-06
148,U0476,/about,mobile,2024-06-04
149,U0274,/product-detail,desktop,2024-03-02
150,U0232,/confirmation,tablet,2024-09-19
151,U0378,/cart,tablet,2024-08-13
152,U0498,/blog,mobile,2024-08-12
153,U0478,/home,tablet,2024-03-29
154,U0032,/home,mobile,2024-10-03
155,U0024,/about,mobile,2024-06-12
156,U0243,/products,desktop,2024-04-06
157,U0195,/faq,desktop,2024-06-02
158,U0305,/about,desktop,2024-11-27
159,U0343,/products,desktop,2024-09-18
160,U0457,/contact,tablet,2024-10-29
161,U0139,/product-detail,tablet,2024-12-09
162,U0217,/blog,tablet,2024-03-18
163,U0238,/about,tablet,2024-12-09
164,U0477,/contact,tablet,2024-11-21
165,U0026,/checkout,desktop,2024-10-28
166,U0182,/cart,tablet,2024-03-01
167,U0133,/products,tablet,2024-08-04
168,U0058,/confirmation,mobile,2024-01-23
169,U0254,/blog,tablet,2024-05-07
170,U0091,/contact,mobile,2024-12-11
171,U0458,/blog,tablet,2024-04-24
172,U0171,/about,mobile,2024-02-24
173,U0399,/contact,tablet,2024-12-03
174,U0344,/about,desktop,2024-05-29
175,U0328,/home,tablet,2024-08-03
176,U0360,/checkout,tablet,2024-07-11
177,U0197,/blog,desktop,2024-05-15
178,U0480,/faq,mobile,2024-01-14
179,U0137,/contact,tablet,2024-06-08
180,U0078,/products,mobile,2024-01-06
181,U0079,/blog,mobile,2024-02-22
182,U0198,/product-detail,desktop,2024-07-01
183,U0297,/cart,tablet,2024-07-27
184,U0141,/blog,tablet,2024-03-05
185,U0001,/blog,tablet,2024-04-23
186,U0137,/blog,mobile,2024-09-29
187,U0357,/blog,desktop,2024-11-10
188,U0022,/about,desktop,2024-05-12
189,U0203,/contact,desktop,2024-09-26
190,U0228,/faq,tablet,2024-02-04
191,U0218,/home,tablet,2024-02-02
192,U0046,/checkout,desktop,2024-04-19
193,U0425,/products,tablet,2024-05-07
194,U0184,/faq,tablet,2024-03-24
195,U0421,/cart,tablet,2024-07-27
196,U0056,/cart,desktop,2024-08-31
197,U0369,/about,desktop,2024-06-23
198,U0096,/cart,desktop,2024-05-10
199,U0165,/blog,tablet,2024-02-18
200,U0206,/confirmation,tablet,2024-01-12
201,U0466,/product-detail,mobile,2024-05-22
202,U0385,/checkout,mobile,2024-03-15
203,U0135,/products,tablet,2024-02-19
204,U0220,/confirmation,tablet,2024-01-17
205,U0447,/cart,tablet,2024-05-28
206,U0141,/home,tablet,2024-08-01
207,U0206,/products,mobile,2024-09-04
208,U0460,/products,tablet,2024-03-05
209,U0359,/checkout,tablet,2024-10-02
210,U0294,/blog,tablet,2024-01-22
211,U0280,/blog,tablet,2024-01-02
212,U0444,/about,mobile,2024-10-09
213,U0075,/products,mobile,2024-02-10
214,U0227,/checkout,mobile,2024-09-21
215,U0435,/products,desktop,2024-06-16
216,U0319,/product-detail,mobile,2024-11-16
217,U0193,/checkout,tablet,2024-08-04
218,U0316,/blog,tablet,2024-05-07
219,U0358,/faq,mobile,2024-12-22
220,U0317,/blog,mobile,2024-06-08
221,U0477,/blog,mobile,2024-10-17
222,U0160,/products,mobile,2024-06-23
223,U0302,/checkout,mobile,2024-12-03
224,U0026,/products,desktop,2024-11-10
225,U0070,/faq,tablet,2024-04-02
226,U0030,/contact,mobile,2024-05-06
227,U0357,/about,tablet,2024-01-23
228,U0180,/products,desktop,2024-08-30
229,U0041,/about,tablet,2024-02-01
230,U0117,/faq,tablet,2024-10-11
231,U0414,/about,desktop,2024-08-03
232,U0161,/cart,mobile,2024-12-29
233,U0332,/product-detail,desktop,2024-09-20
234,U0297,/checkout,mobile,2024-07-09
235,U0307,/home,mobile,2024-09-05
236,U0004,/home,desktop,2024-10-31
237,U0336,/faq,mobile,2024-03-10
238,U0153,/blog,tablet,2024-05-08
239,U0092,/home,mobile,2024-07-11
240,U0193,/checkout,tablet,2024-10-12
241,U0315,/about,mobile,2024-09-11
242,U0211,/home,mobile,2024-08-11
243,U0135,/product-detail,desktop,2024-06-08
244,U0162,/about,mobile,2024-09-07
245,U0388,/contact,mobile,2024-10-02
246,U0457,/home,tablet,2024-08-18
247,U0401,/checkout,mobile,2024-04-23
248,U0099,/blog,tablet,2024-01-15
249,U0218,/product-detail,desktop,2024-07-08
250,U0133,/about,mobile,2024-03-07
251,U0438,/product-detail,mobile,2024-06-21
252,U0359,/checkout,desktop,2024-02-25
253,U0204,/confirmation,tablet,2024-11-07
254,U0178,/cart,desktop,2024-01-05
255,U0356,/about,desktop,2024-04-05
256,U0061,/product-detail,desktop,2024-05-30
257,U0093,/contact,mobile,2024-09-01
258,U0356,/contact,mobile,2024-07-24
259,U0069,/confirmation,tablet,2024-02-04
260,U0200,/home,desktop,2024-02-10
261,U0091,/checkout,tablet,2024-02-21
262,U0048,/confirmation,tablet,2024-05-08
263,U0274,/blog,tablet,2024-07-17
264,U0031,/home,tablet,2024-01-08
265,U0056,/contact,tablet,2024-09-21
266,U0203,/contact,tablet,2024-09-10
267,U0287,/product-detail,desktop,2024-02-10
268,U0089,/faq,tablet,2024-07-02
269,U0228,/home,mobile,2024-08-16
270,U0070,/about,mobile,2024-03-25
271,U0327,/about,desktop,2024-03-16
272,U0374,/products,desktop,2024-01-28
273,U0105,/blog,mobile,2024-04-27
274,U0377,/contact,mobile,2024-04-26
275,U0221,/confirmation,tablet,2024-10-28
276,U0374,/about,tablet,2024-01-25
277,U0237,/blog,mobile,2024-11-21
278,U0087,/confirmation,mobile,2024-09-20
279,U0090,/checkout,desktop,2024-03-04
280,U0344,/blog,tablet,2024-04-29
281,U0258,/confirmation,mobile,2024-07-04
282,U0409,/checkout,desktop,2024-01-17
283,U0347,/about,mobile,2024-06-05
284,U0335,/confirmation,mobile,2024-11-29
285,U0240,/confirmation,tablet,2024-03-15
286,U0446,/cart,desktop,2024-02-27
287,U0072,/cart,desktop,2024-12-31
288,U0230,/checkout,tablet,2024-11-10
289,U0392,/contact,tablet,2024-11-13
290,U0376,/products,mobile,2024-08-12
291,U0462,/about,desktop,2024-05-04
292,U0341,/checkout,tablet,2024-11-24
293,U0348,/product-detail,mobile,2024-03-27
294,U0016,/cart,tablet,2024-10-02
295,U0195,/product-detail,desktop,2024-08-31
296,U0182,/home,tablet,2024-10-04
297,U0032,/products,tablet,2024-07-17
298,U0493,/cart,desktop,2024-05-10
299,U0169,/cart,desktop,2024-07-16
300,U0312,/cart,mobile,2024-10-06
301,U0258,/product-detail,mobile,2024-11-15
302,U0458,/cart,mobile,2024-04-27
303,U0452,/checkout,desktop,2024-01-19
304,U0440,/products,tablet,2024-02-05
305,U0367,/about,mobile,2024-08-30
306,U0259,/checkout,tablet,2024-02-04
307,U0432,/about,mobile,2024-03-29
308,U0143,/checkout,mobile,2024-12-09
309,U0490,/confirmation,mobile,2024-05-14
310,U0219,/home,tablet,2024-04-17
311,U0420,/blog,mobile,2024-12-18
312,U0034,/contact,tablet,2024-11-13
313,U0112,/contact,tablet,2024-10-09
314,U0055,/home,tablet,2024-12-17
315,U0334,/confirmation,desktop,2024-11-25
316,U0306,/products,desktop,2024-10-01
317,U0234,/blog,tablet,2024-12-04
318,U0131,/blog,tablet,2024-07-16
319,U0412,/faq,tablet,2024-10-23
320,U0218,/faq,tablet,2024-09-20
321,U0398,/product-detail,tablet,2024-11-02
322,U0032,/checkout,mobile,2024-09-03
323,U0297,/product-detail,mobile,2024-02-23
324,U0141,/contact,tablet,2024-03-11
325,U0130,/about,desktop,2024-01-19
326,U0415,/products,tablet,2024-11-02
327,U0277,/about,tablet,2024-05-09
328,U0090,/checkout,desktop,2024-04-14
329,U0426,/blog,tablet,2024-04-25
330,U0304,/contact,desktop,2024-09-23
331,U0121,/cart,tablet,2024-02-22
332,U0078,/products,tablet,2024-12-03
333,U0282,/contact,desktop,2024-07-19
334,U0472,/product-detail,tablet,2024-04-17
335,U0089,/blog,tablet,2024-01-26
336,U0365,/faq,tablet,2024-04-18
337,U0086,/product-detail,desktop,2024-01-23
338,U0418,/products,desktop,2024-04-04
339,U0118,/product-detail,desktop,2024-01-09
340,U0033,/blog,mobile,2024-08-24
341,U0223,/about,desktop,2024-01-24
342,U0466,/home,tablet,2024-11-19
343,U0306,/blog,tablet,2024-09-03
344,U0367,/about,desktop,2024-01-06
345,U0281,/products,mobile,2024-04-06
346,U0191,/about,desktop,2024-05-27
347,U0032,/cart,tablet,2024-05-28
348,U0476,/confirmation,tablet,2024-05-04
349,U0329,/products,tablet,2024-09-18
350,U0387,/home,mobile,2024-05-21
351,U0216,/blog,tablet,2024-03-11
352,U0100,/confirmation,mobile,2024-07-28
353,U0444,/faq,mobile,2024-12-12
354,U0405,/products,desktop,2024-01-02
355,U0102,/home,mobile,2024-07-25
356,U0469,/product-detail,desktop,2024-07-08
357,U0419,/checkout,mobile,2024-10-28
358,U0195,/contact,desktop,2024-06-18
359,U0011,/home,mobile,2024-08-09
360,U0498,/about,mobile,2024-05-17
361,U0048,/products,desktop,2024-11-27
362,U0202,/confirmation,mobile,2024-02-14
363,U0363,/products,tablet,2024-04-25
364,U0145,/home,mobile,2024-10-04
365,U0166,/products,mobile,2024-11-10
366,U0419,/faq,mobile,2024-11-12
367,U0241,/home,tablet,2024-11-10
368,U0008,/confirmation,tablet,2024-04-09
369,U0221,/about,tablet,2024-04-13
370,U0151,/blog,desktop,2024-07-12
371,U0274,/faq,tablet,2024-11-14
372,U0208,/product-detail,mobile,2024-11-06
373,U0236,/home,tablet,2024-04-29
374,U0277,/about,tablet,2024-10-11
375,U0267,/faq,desktop,2024-08-29
376,U0271,/contact,tablet,2024-02-07
377,U0187,/home,mobile,2024-10-29
378,U0220,/product-detail,mobile,2024-08-20
379,U0433,/products,tablet,2024-08-20
380,U0460,/about,desktop,2024-12-20
381,U0305,/cart,desktop,2024-01-12
382,U0483,/products,desktop,2024-08-08
383,U0452,/confirmation,mobile,2024-11-19
384,U0268,/faq,tablet,2024-04-05
385,U0195,/home,mobile,2024-02-10
386,U0284,/home,tablet,2024-07-07
387,U0479,/product-detail,desktop,2024-08-24
388,U0185,/confirmation,tablet,2024-06-09
389,U0498,/products,mobile,2024-09-06
390,U0234,/checkout,tablet,2024-02-16
391,U0344,/product-detail,mobile,2024-05-31
392,U0198,/faq,desktop,2024-02-08
393,U0050,/blog,tablet,2024-11-26
394,U0283,/product-detail,mobile,2024-02-17
395,U0312,/faq,mobile,2024-03-11
396,U0224,/checkout,desktop,2024-03-24
397,U0073,/faq,mobile,2024-06-20
398,U0263,/faq,desktop,2024-08-18
399,U0028,/checkout,tablet,2024-07-06
400,U0137,/product-detail,desktop,2024-10-10
401,U0178,/checkout,mobile,2024-09-05
402,U0427,/home,mobile,2024-08-10
403,U0400,/blog,desktop,2024-01-02
404,U0433,/faq,desktop,2024-03-05
405,U0433,/confirmation,mobile,2024-01-01
406,U0364,/faq,desktop,2024-01-26
407,U0033,/about,desktop,2024-12-26
408,U0461,/confirmation,mobile,2024-05-20
409,U0487,/home,mobile,2024-03-28
410,U0109,/product-detail,mobile,2024-08-28
411,U0091,/blog,desktop,2024-10-13
412,U0313,/confirmation,tablet,2024-05-23
413,U0003,/home,desktop,2024-09-05
414,U0267,/blog,desktop,2024-03-23
415,U0353,/checkout,tablet,2024-08-19
416,U0124,/products,desktop,2024-08-02
417,U0038,/about,tablet,2024-07-10
418,U0004,/contact,desktop,2024-01-31
419,U0403,/confirmation,tablet,2024-11-24
420,U0358,/home,desktop,2024-02-29
421,U0295,/confirmation,desktop,2024-11-08
422,U0092,/contact,desktop,2024-12-02
423,U0045,/confirmation,desktop,2024-08-06
424,U0042,/home,tablet,2024-07-04
425,U0117,/contact,desktop,2024-10-18
426,U0070,/cart,desktop,2024-01-17
427,U0237,/products,mobile,2024-10-30
428,U0161,/home,desktop,2024-09-04
429,U0132,/products,tablet,2024-10-20
430,U0403,/checkout,tablet,2024-12-30
431,U0168,/checkout,desktop,2024-11-26
432,U0073,/faq,tablet,2024-08-27
433,U0212,/faq,tablet,2024-10-20
434,U0110,/about,mobile,2024-03-08
435,U0305,/checkout,mobile,2024-08-29
436,U0393,/products,mobile,2024-02-15
437,U0492,/faq,tablet,2024-09-20
438,U0474,/product-detail,mobile,2024-04-13
439,U0413,/checkout,tablet,2024-02-12
440,U0110,/products,desktop,2024-05-12
441,U0171,/home,desktop,2024-06-29
442,U0397,/blog,tablet,2024-11-08
443,U0207,/cart,tablet,2024-04-03
444,U0036,/contact,mobile,2024-04-19
445,U0498,/confirmation,mobile,2024-05-11
446,U0269,/cart,mobile,2024-03-18
447,U0216,/blog,desktop,2024-07-26
448,U0442,/checkout,tablet,2024-08-10
449,U0020,/about,mobile,2024-04-09
450,U0302,/blog,desktop,2024-05-08
451,U0457,/checkout,tablet,2024-09-14
452,U0100,/blog,mobile,2024-03-31
453,U0163,/cart,mobile,2024-11-18
454,U0497,/checkout,mobile,2024-03-11
455,U0277,/home,mobile,2024-06-20
456,U0028,/contact,mobile,2024-05-21
457,U0361,/home,mobile,2024-07-03
458,U0230,/faq,mobile,2024-06-29
459,U0041,/confirmation,mobile,2024-03-22
460,U0106,/faq,desktop,2024-01-05
461,U0305,/home,tablet,2024-06-19
462,U0462,/confirmation,desktop,2024-01-22
463,U0253,/checkout,tablet,2024-01-15
464,U0342,/faq,desktop,2024-04-29
465,U0052,/products,desktop,2024-08-24
466,U0399,/blog,mobile,2024-02-18
467,U0308,/home,desktop,2024-06-17
468,U0413,/checkout,tablet,2024-08-15
469,U0350,/about,desktop,2024-12-17
470,U0360,/product-detail,desktop,2024-11-20
471,U0013,/about,tablet,2024-11-13
472,U0190,/cart,mobile,2024-05-17
473,U0358,/products,tablet,2024-03-31
474,U0001,/products,tablet,2024-03-10
475,U0094,/contact,mobile,2024-10-16
476,U0183,/home,desktop,2024-03-21
477,U0441,/about,tablet,2024-01-26
478,U0041,/confirmation,desktop,2024-06-21
479,U0110,/product-detail,mobile,2024-12-01
480,U0352,/faq,mobile,2024-08-13
481,U0325,/faq,mobile,2024-01-17
482,U0225,/checkout,desktop,2024-09-09
483,U0052,/contact,tablet,2024-04-07
484,U0433,/product-detail,mobile,2024-10-31
485,U0282,/home,mobile,2024-12-28
486,U0381,/faq,tablet,2024-07-06
487,U0330,/home,desktop,2024-12-07
488,U0385,/products,desktop,2024-01-05
489,U0202,/checkout,tablet,2024-11-14
490,U0111,/checkout,tablet,2024-01-07
491,U0105,/faq,desktop,2024-01-02
492,U0143,/confirmation,desktop,2024-01-17
493,U0450,/cart,mobile,2024-01-24
494,U0260,/faq,tablet,2024-05-25
495,U0033,/products,tablet,2024-06-02
496,U0321,/faq,desktop,2024-04-23
497,U0335,/confirmation,tablet,2024-11-11
498,U0457,/product-detail,tablet,2024-07-02
499,U0178,/cart,mobile,2024-12-17
500,U0291,/confirmation,desktop,2024-01-24
