customer_id,age,annual_income_k,spending_score,segment
C001,26,30.3,34,budget
C002,45,95.6,81,premium
C003,47,101.5,86,premium
C004,57,74.0,9,saver
C005,46,98.0,92,premium
C006,53,94.9,84,premium
C007,50,92.7,79,premium
C008,44,93.9,80,premium
C009,58,69.3,28,saver
C010,59,63.6,11,saver
C011,43,95.6,89,premium
C012,48,94.8,83,premium
C013,26,23.8,25,budget
C014,62,67.5,28,saver
C015,58,77.8,20,saver
C016,52,69.2,16,saver
C017,56,65.9,22,saver
C018,23,31.5,33,budget
C019,45,93.2,80,premium
C020,56,60.9,20,saver
C021,24,28.2,36,budget
C022,46,87.7,76,premium
C023,60,65.0,18,saver
C024,24,28.5,33,budget
C025,41,93.0,90,premium
C026,28,35.7,34,budget
C027,25,28.4,39,budget
C028,56,73.4,24,saver
C029,50,95.8,80,premium
C030,24,26.4,37,budget
C031,23,36.6,40,budget
C032,19,18.6,41,budget
C033,20,25.5,31,budget
C034,64,75.4,23,saver
C035,45,91.2,76,premium
C036,46,89.9,92,premium
C037,22,31.4,37,budget
C038,26,17.0,37,budget
C039,26,31.6,35,budget
C040,62,67.1,24,saver
C041,27,21.8,29,budget
C042,48,87.1,79,premium
C043,57,74.8,8,saver
C044,58,79.7,28,saver
C045,63,79.2,22,saver
