"#"|"Sticky (as written on the board)"|"Board lane"|"Topic"|"Vote"|"Notes"|"name"|"team"
"1"|"Cost overview (how many tokens were used)"|"Governance"|"Show what the agent does"|"2"|""|"keidjan"|"DE"
"2"|"Ability to compact chat. It could be that people use the same chat over and over and it gets out of hand"|"Improve AI interaction"|"Conversation management"|"0"|""|"keidjan"|"DE"
"3"|"Infer run id from the chat but double check with the user. E.g. ask for Bijkoop run details: derive it from the description but check with the user"|"Improve AI interaction"|"Ask, don't guess"|"2"|""|"keidjan"|"DE"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"3"|""|"keidjan"|"DE"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"1"|""|"keidjan"|"DE"
"6"|"A good overview of all the queries and executions it does behind the scenes"|"Improve AI interaction"|"Show what the agent does"|"3"|""|"keidjan"|"DE"
"7"|"Ability to download tables to Excel"|"Improve AI interaction"|"Richer outputs and surfaces"|"2"|""|"keidjan"|"DE"
"8"|"Output graphs in chat if possible"|"Improve AI interaction"|"Richer outputs and surfaces"|"3"|""|"keidjan"|"DE"
"9"|"Overview of the knowledge base so we are aligned on definitions"|"Knowledge base intent"|"Knowledge base and definitions"|"1"|""|"keidjan"|"DE"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"0"|""|"keidjan"|"DE"
"11"|"Thumbs up / thumbs down button, tied to tracing"|"Telemetry / feedback / logging"|"Feedback and support loop"|"0"|""|"keidjan"|"DE"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"0"|""|"keidjan"|"DE"
"13"|"Create a new feature via prompt"|"Run work; develop product"|"Architecture and cost"|"0"|""|"keidjan"|"DE"
"14"|"Formalise actuals (contract): run_ids per deal / month"|"Run work; develop product"|"Domain capability"|"1"|""|"keidjan"|"DE"
"15"|"Ask for user confirmation when unsure, similar to what Claude Code does"|"Improve AI interaction"|"Ask, don't guess"|"1"|""|"keidjan"|"DE"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"1"|""|"keidjan"|"DE"
"17"|"Logging everything (currently only in the browser)"|"Telemetry / feedback / logging"|"Feedback and support loop"|"3"|""|"keidjan"|"DE"
"18"|"Form realistic testing datasets"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"keidjan"|"DE"
"19"|"Make an end-to-end Posman run in a sandbox and evaluate"|"Run work; develop product"|"Assurance and evaluation"|"0"|""|"keidjan"|"DE"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"3"|""|"keidjan"|"DE"
"21"|"Find a way to sync documentation into the knowledge base"|"Knowledge base intent"|"Knowledge base and definitions"|"3"|""|"keidjan"|"DE"
"22"|"Nightly check for changes in code and the knowledge base"|"Governance"|"Knowledge base and definitions"|"1"|""|"keidjan"|"DE"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"0"|""|"keidjan"|"DE"
"24"|"Evaluator: run successful, backtest"|"Run work; develop product"|"Assurance and evaluation"|"3"|""|"keidjan"|"DE"
"25"|"Have a vocabulary that people can use as a knowledge bank"|"Knowledge base intent"|"Knowledge base and definitions"|"1"|""|"keidjan"|"DE"
"26"|"Auto-generated documentation so users see what can be done; grows with every feature"|"Governance"|"Knowledge base and definitions"|"1"|""|"keidjan"|"DE"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"1"|""|"keidjan"|"DE"
"28"|"Flow conversations: a chain of interactions showing what is possible after each step, complementary to open conversations"|"Improve AI interaction"|"Richer outputs and surfaces"|"0"|""|"keidjan"|"DE"
"29"|"Report button: creates a user story in Jira (or any backlog) with the conversation context and debug info"|"Governance"|"Feedback and support loop"|"0"|""|"keidjan"|"DE"
"30"|"Identify fraudulent usage"|"Governance"|"Assurance and evaluation"|"1"|""|"keidjan"|"DE"
"31"|"Make it look like they are chatting with us, so they think we are super humans"|"Improve AI interaction"|"Ask, don't guess"|"0"|""|"keidjan"|"DE"
"32"|"Let users contact customer support (us), with the chat included"|"Improve AI interaction"|"Feedback and support loop"|"0"|""|"keidjan"|"DE"
"33"|"Let the user know when a tool call is going to be long-running"|"Improve AI interaction"|"Show what the agent does"|"1"|""|"keidjan"|"DE"
"34"|"Show the context that is used in the chat"|"Improve AI interaction"|"Show what the agent does"|"2"|""|"keidjan"|"DE"
"35"|"Know when you can't give the answer, and be honest about it"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"keidjan"|"DE"
"36"|"Let somebody know when you need more info"|"Improve AI interaction"|"Ask, don't guess"|"3"|""|"keidjan"|"DE"
"37"|"Share chats with others"|"Improve AI interaction"|"Feedback and support loop"|"3"|""|"keidjan"|"DE"
"4"|"Have a summary of what the agent is doing at the moment or what it did (now we only have get_metrics, list_metrics)"|"AI assurance"|"Show what the agent does"|"0"|""|"volkan"|"DS"
"12"|"Get input sources: from Posman run_id to landing tables"|"Analytics"|"Domain capability"|"1"|""|"volkan"|"DS"
"16"|"Compare landing tables for root cause analysis"|"Analytics"|"Domain capability"|"3"|""|"volkan"|"DS"
"23"|"Back-propagation from offtake to scs"|"Analytics"|"Domain capability"|"3"|""|"volkan"|"DS"
"27"|"Dataframe tracker: track all intermediate dataframes"|"Analytics"|"Show what the agent does"|"0"|""|"volkan"|"DS"
"5"|"Orchestrator / executor on different models. Opus is not needed all the time"|"Architecture"|"Architecture and cost"|"0"|""|"volkan"|"DS"
"10"|"Generate a new page inside the Posman Deployment Manager (local to browser and session) to display anything without the limits of the chat, e.g. a plot of column x from table y in a new tab"|"Architecture"|"Richer outputs and surfaces"|"0"|""|"volkan"|"DS"
"20"|"Clean code with decorators that let you define a function like you normally do"|"Architecture"|"Architecture and cost"|"0"|""|"volkan"|"DS"
