invoice_id,city,customer_type,product_line,unit_price,quantity,gross_income,date
INV-00516,Bago,Normal,Health and beauty,57.16,4,11.43,2024-01-11
INV-00163,Bago,Normal,Home and lifestyle,34.84,7,12.19,2024-12-24
INV-00047,Bago,Normal,Food and beverages,43.84,8,17.54,2024-11-19
INV-00963,Mandalay,Normal,Food and beverages,37.55,10,18.78,2024-08-05
INV-00882,Yangon,Normal,Fashion accessories,33.31,7,11.66,2024-05-25
INV-00370,Mandalay,Member,Fashion accessories,51.9,6,15.57,2024-06-21
INV-00337,Mandalay,Member,Home and lifestyle,73.47,3,11.02,2024-03-30
INV-00257,Bago,Member,Food and beverages,69.91,7,24.47,2024-03-23
INV-00684,Naypyitaw,Member,Sports and travel,45.13,2,4.51,2024-09-10
INV-00663,Naypyitaw,Normal,Health and beauty,24.56,7,8.6,2024-09-26
INV-00519,Naypyitaw,Normal,Home and lifestyle,65.29,5,16.32,2024-11-07
INV-00087,Taunggyi,Member,Food and beverages,44.33,9,19.95,2024-12-24
INV-00725,Taunggyi,Normal,Electronic accessories,23.49,3,3.52,2024-02-28
INV-00108,Yangon,Normal,Sports and travel,24.78,8,9.91,2024-05-03
INV-00431,Bago,Normal,Food and beverages,54.58,4,10.92,2024-04-16
INV-00862,Mandalay,Normal,Fashion accessories,37.35,9,16.81,2024-01-17
INV-00331,Yangon,Member,Food and beverages,14.33,1,0.72,2024-12-31
INV-00405,Mandalay,Normal,Home and lifestyle,49.62,7,17.37,2024-12-05
INV-00789,Naypyitaw,Normal,Sports and travel,95.36,3,14.3,2024-07-30
INV-00485,Mandalay,Member,Food and beverages,73.94,9,33.27,2024-08-28
INV-00306,Mandalay,Member,Food and beverages,61.47,9,27.66,2024-04-16
INV-00623,Taunggyi,Member,Fashion accessories,12.22,4,2.44,2024-02-15
INV-00755,Taunggyi,Member,Food and beverages,35.17,2,3.52,2024-02-02
INV-00849,Mandalay,Member,Home and lifestyle,67.49,9,30.37,2024-10-23
INV-00942,Bago,Normal,Food and beverages,88.31,3,13.25,2024-06-09
INV-00900,Taunggyi,Normal,Sports and travel,15.83,8,6.33,2024-12-27
INV-00269,Naypyitaw,Normal,Food and beverages,63.25,8,25.3,2024-03-26
INV-00220,Taunggyi,Normal,Fashion accessories,41.63,3,6.24,2024-06-02
INV-00402,Naypyitaw,Normal,Electronic accessories,78.94,7,27.63,2024-07-30
INV-00715,Bago,Normal,Fashion accessories,12.29,6,3.69,2024-12-13
INV-00827,Taunggyi,Normal,Sports and travel,15.59,3,2.34,2024-04-29
INV-00599,Naypyitaw,Member,Electronic accessories,98.11,2,9.81,2024-07-12
INV-00734,Naypyitaw,Member,Home and lifestyle,85.49,6,25.65,2024-03-28
INV-00933,Mandalay,Member,Food and beverages,42.06,5,10.52,2024-08-09
INV-00346,Yangon,Normal,Fashion accessories,64.95,7,22.73,2024-07-12
INV-00064,Taunggyi,Member,Fashion accessories,45.23,3,6.78,2024-01-06
INV-00449,Naypyitaw,Normal,Electronic accessories,73.04,3,10.96,2024-03-10
INV-00451,Mandalay,Member,Fashion accessories,65.08,4,13.02,2024-12-07
INV-00194,Bago,Member,Food and beverages,10.52,8,4.21,2024-12-08
INV-00854,Taunggyi,Normal,Health and beauty,67.4,5,16.85,2024-12-18
