response_id,respondent_id,question,rating,date
1,R0248,Product Quality,3,2024-12-17
2,R0266,Overall Satisfaction,1,2024-03-16
3,R0211,Customer Service,2,2024-07-01
4,R0255,Product Quality,2,2024-10-22
5,R0221,Value for Money,2,2024-02-15
6,R0100,Ease of Use,1,2024-05-20
7,R0279,Ease of Use,5,2024-03-30
8,R0136,Overall Satisfaction,3,2024-06-18
9,R0201,Delivery Speed,4,2024-05-21
10,R0159,Customer Service,1,2024-10-23
11,R0267,Overall Satisfaction,3,2024-11-09
12,R0063,Ease of Use,4,2024-10-17
13,R0178,Value for Money,1,2024-01-05
14,R0256,Overall Satisfaction,2,2024-08-26
15,R0077,Delivery Speed,3,2024-11-15
16,R0286,Overall Satisfaction,2,2024-06-04
17,R0250,Value for Money,1,2024-05-30
18,R0008,Ease of Use,1,2024-04-21
19,R0145,Delivery Speed,1,2024-01-28
20,R0251,Value for Money,1,2024-08-08
21,R0181,Overall Satisfaction,1,2024-01-26
22,R0129,Customer Service,3,2024-05-25
23,R0258,Overall Satisfaction,5,2024-03-20
24,R0045,Overall Satisfaction,3,2024-03-14
25,R0101,Ease of Use,5,2024-02-11
26,R0149,Customer Service,1,2024-08-30
27,R0182,Customer Service,4,2024-08-04
28,R0205,Product Quality,3,2024-06-03
29,R0160,Customer Service,5,2024-08-11
30,R0166,Delivery Speed,2,2024-12-15
31,R0103,Value for Money,2,2024-08-01
32,R0284,Customer Service,3,2024-06-05
33,R0044,Value for Money,5,2024-11-17
34,R0237,Delivery Speed,2,2024-07-11
35,R0224,Product Quality,2,2024-09-26
36,R0227,Overall Satisfaction,3,2024-09-14
37,R0184,Ease of Use,3,2024-08-06
38,R0239,Ease of Use,4,2024-08-24
39,R0015,Delivery Speed,1,2024-08-03
40,R0046,Customer Service,5,2024-06-03
41,R0125,Delivery Speed,5,2024-07-10
42,R0066,Delivery Speed,5,2024-10-16
43,R0151,Product Quality,4,2024-03-05
44,R0207,Overall Satisfaction,1,2024-08-24
45,R0266,Ease of Use,1,2024-02-13
46,R0029,Value for Money,1,2024-06-19
47,R0050,Value for Money,5,2024-09-03
48,R0170,Product Quality,1,2024-10-26
49,R0262,Overall Satisfaction,1,2024-12-25
50,R0105,Delivery Speed,2,2024-10-14
51,R0254,Customer Service,2,2024-12-11
52,R0080,Value for Money,3,2024-01-04
53,R0249,Delivery Speed,2,2024-02-28
54,R0035,Product Quality,2,2024-11-05
55,R0062,Delivery Speed,1,2024-05-06
56,R0105,Product Quality,4,2024-01-13
57,R0259,Ease of Use,4,2024-01-29
58,R0063,Value for Money,4,2024-09-04
59,R0095,Customer Service,5,2024-05-13
60,R0225,Overall Satisfaction,5,2024-03-04
61,R0222,Customer Service,1,2024-04-04
62,R0073,Overall Satisfaction,2,2024-03-28
63,R0262,Overall Satisfaction,5,2024-04-12
64,R0244,Ease of Use,3,2024-05-28
65,R0052,Delivery Speed,4,2024-07-07
66,R0141,Ease of Use,4,2024-12-23
67,R0055,Ease of Use,4,2024-08-05
68,R0076,Product Quality,3,2024-08-22
69,R0062,Delivery Speed,4,2024-01-06
70,R0298,Value for Money,1,2024-11-26
71,R0228,Product Quality,3,2024-03-12
72,R0240,Overall Satisfaction,4,2024-05-21
73,R0005,Customer Service,3,2024-09-13
74,R0258,Customer Service,3,2024-12-27
75,R0269,Ease of Use,5,2024-02-02
76,R0090,Overall Satisfaction,2,2024-06-29
77,R0289,Value for Money,4,2024-03-12
78,R0143,Overall Satisfaction,3,2024-07-20
79,R0035,Overall Satisfaction,4,2024-07-11
80,R0242,Delivery Speed,2,2024-10-21
81,R0260,Overall Satisfaction,5,2024-05-12
82,R0067,Overall Satisfaction,3,2024-10-28
83,R0298,Value for Money,5,2024-11-12
84,R0207,Product Quality,1,2024-01-16
85,R0082,Customer Service,1,2024-12-06
86,R0055,Ease of Use,4,2024-06-14
87,R0119,Overall Satisfaction,2,2024-02-23
88,R0090,Overall Satisfaction,4,2024-08-03
89,R0033,Product Quality,5,2024-05-08
90,R0059,Product Quality,1,2024-08-14
91,R0192,Delivery Speed,1,2024-03-30
92,R0165,Product Quality,4,2024-07-12
93,R0069,Overall Satisfaction,5,2024-10-11
94,R0103,Customer Service,3,2024-09-08
95,R0225,Overall Satisfaction,3,2024-04-25
96,R0104,Overall Satisfaction,2,2024-08-10
97,R0271,Customer Service,1,2024-10-25
98,R0013,Overall Satisfaction,1,2024-04-14
99,R0018,Customer Service,1,2024-07-03
100,R0209,Delivery Speed,5,2024-02-06
101,R0175,Customer Service,5,2024-09-11
102,R0098,Customer Service,5,2024-08-30
103,R0257,Value for Money,3,2024-11-12
104,R0287,Customer Service,1,2024-08-12
105,R0219,Overall Satisfaction,4,2024-02-06
106,R0292,Product Quality,2,2024-09-21
107,R0153,Product Quality,1,2024-09-12
108,R0119,Product Quality,5,2024-10-03
109,R0170,Product Quality,2,2024-05-28
110,R0129,Ease of Use,3,2024-02-04
111,R0081,Value for Money,1,2024-09-30
112,R0295,Customer Service,5,2024-11-08
113,R0257,Value for Money,4,2024-11-12
114,R0030,Delivery Speed,1,2024-10-25
115,R0242,Value for Money,1,2024-01-17
116,R0174,Ease of Use,3,2024-04-12
117,R0172,Product Quality,2,2024-04-14
118,R0281,Overall Satisfaction,3,2024-12-05
119,R0032,Customer Service,4,2024-02-07
120,R0289,Delivery Speed,1,2024-06-26
121,R0037,Ease of Use,5,2024-11-09
122,R0042,Delivery Speed,4,2024-03-07
123,R0139,Overall Satisfaction,1,2024-02-23
124,R0019,Ease of Use,5,2024-04-25
125,R0180,Ease of Use,4,2024-06-04
126,R0117,Product Quality,1,2024-01-14
127,R0101,Delivery Speed,5,2024-07-13
128,R0010,Delivery Speed,4,2024-01-27
129,R0199,Ease of Use,2,2024-08-08
130,R0219,Delivery Speed,2,2024-02-29
131,R0225,Product Quality,5,2024-07-07
132,R0181,Customer Service,3,2024-08-11
133,R0030,Customer Service,2,2024-02-17
134,R0006,Customer Service,4,2024-10-01
135,R0291,Product Quality,1,2024-05-07
136,R0030,Product Quality,1,2024-03-05
137,R0225,Customer Service,3,2024-01-23
138,R0161,Value for Money,5,2024-12-01
139,R0126,Value for Money,2,2024-11-06
140,R0204,Ease of Use,1,2024-12-02
141,R0040,Product Quality,3,2024-10-05
142,R0106,Ease of Use,3,2024-04-22
143,R0228,Overall Satisfaction,3,2024-07-06
144,R0283,Value for Money,2,2024-09-26
145,R0137,Value for Money,5,2024-09-14
146,R0054,Product Quality,3,2024-07-29
147,R0249,Value for Money,1,2024-04-14
148,R0071,Delivery Speed,2,2024-06-05
149,R0284,Customer Service,1,2024-07-09
150,R0073,Product Quality,2,2024-12-23
151,R0226,Overall Satisfaction,4,2024-02-28
152,R0011,Ease of Use,1,2024-05-18
153,R0143,Delivery Speed,4,2024-06-02
154,R0044,Product Quality,3,2024-11-08
155,R0197,Ease of Use,1,2024-07-14
156,R0197,Ease of Use,1,2024-04-24
157,R0106,Ease of Use,2,2024-12-03
158,R0221,Delivery Speed,1,2024-12-04
159,R0157,Product Quality,5,2024-06-27
160,R0014,Delivery Speed,3,2024-05-14
161,R0111,Product Quality,3,2024-11-14
162,R0223,Ease of Use,1,2024-02-25
163,R0284,Ease of Use,3,2024-09-30
164,R0238,Ease of Use,5,2024-10-17
165,R0266,Value for Money,2,2024-07-14
166,R0240,Overall Satisfaction,2,2024-03-08
167,R0008,Value for Money,3,2024-02-13
168,R0128,Delivery Speed,3,2024-06-21
169,R0293,Ease of Use,1,2024-11-11
170,R0141,Value for Money,3,2024-12-03
171,R0129,Overall Satisfaction,5,2024-01-07
172,R0064,Value for Money,5,2024-12-04
173,R0165,Value for Money,2,2024-08-15
174,R0237,Product Quality,4,2024-01-05
175,R0239,Product Quality,3,2024-09-02
176,R0285,Customer Service,4,2024-01-30
177,R0297,Product Quality,3,2024-11-08
178,R0283,Value for Money,1,2024-08-13
179,R0093,Value for Money,3,2024-05-12
180,R0254,Customer Service,2,2024-11-18
181,R0090,Customer Service,5,2024-12-01
182,R0026,Customer Service,1,2024-12-01
183,R0020,Customer Service,5,2024-08-13
184,R0297,Value for Money,1,2024-10-10
185,R0117,Product Quality,3,2024-05-11
186,R0009,Overall Satisfaction,3,2024-10-03
187,R0023,Delivery Speed,2,2024-06-28
188,R0056,Product Quality,5,2024-08-15
189,R0058,Delivery Speed,1,2024-05-01
190,R0105,Value for Money,5,2024-07-09
191,R0213,Product Quality,4,2024-05-24
192,R0074,Product Quality,3,2024-11-06
193,R0185,Value for Money,4,2024-11-29
